to throw out,  பெய், 
throw aside,  பெய், 
to insert,  பெய், ஈராசிடை வெண்பா; நூக்கி, போக்கு, தூர்// செருகு/ கோ, ஓட்டல்; நாட்டு; நுழுந்து; நீட்டு, திணி, 
interpolate as in a text,  பெய், 
to make to settle,  பெய், 
appoint,  வரை, பெய், பணியமர்த்து, அமர்த்து, பணியில் அமர்த்து/ வகு/ வகுத்தல், 
to discharge,  பெய், உதை, எவ்வு/ குதை, போக்கு/ கடவு/ விழு, உகை, தொடு, உமையாள், பெயர்/ வழங்கு, ஏவு, 
to writedraw,  பெய், 
as harness,  பெய், 
as jewells,  பெய், 
cloths,  பெய்// சோமாறு/ கூறை, 
to bring into play,  பெய், 
to shed,  பெய்;- இகுத்தல், உதிர்/ வடி, உகு// சிதர்/ வழி/ கவிழ்;- இகு, 
as tears,  பெய்;- இகுத்தல், துளி, உதிர், ஒற்று/ வடி, உகு// சோர், பனி, பொசி;- இகு// சத்துவம், 
to strew,  பெய், தெளி/ வீசு, 
scatter,  பெய்/ கடைவிரி/ கலை, துரத்தல், உளர்// சிதறல் விளக்கப்படம்/ வீசு// சிதறு// சீந்து, உளை, தூவு/ குலை, தெளி, தூவுதல், உகு// சிதை// சிதறல்// சிதர், துர, 
being close together,  பெய், 
feed hopper,  வைத்தூட்டி, பெய்கலம், ஊட்டு பெய்கலன், 
pot or vessel,  பெய்கலம், 
measuring by a vessel of standard capacity,  பெய்தளத்தல், 
insertion,  செருகல், உட்செருகல், உட்சேர்த்தல், உட்புகுத்துதல்;- இடைச்செருகுதல், பெய்துரை, தகிலிப்பு// செருகுதல்; நுழைத்தல்; நுழைப்பு, 
interpolation,  இடைமதிப்பீடு; நேர்கோட்டு இடைமதிப்பீடு, அகநிர்ணயம், பெய்துரை;- இடைக்கணிப்பு, எதிர்மாறு இடைமதிப்பீடு;- இடைக் கணிப்பு;- இடைச்செருகல், 
as wearing bracelets,  பெய்வளை, 
ladyaswearingbracelets,  பெய்வளை, 
nomenclature,  பெயரிடல்// சொல் வழக்கு, பெயரிடு முறை, பெயரீட்டாளர், பெயர்த்தொகுதி, பெயரிடு நெறி/ வழக்காற்றுச் சொல், பெயரிடும்முறை, பெயரீட்டுமுறை// சொல்வழக்கு, பெயர், பெயர் விளக்கம்;- இடுபெயர்த் தொகுதி, பெயரீடு, பெயரிடுமுறை, பெயரீட்டு முறை, 
noun,  பெயர், பெயர்ச்சொல், 
lable,  பெயர், 
appellation,  நாமம், தலைப்பு// சொல் பொருண்மை உறவு, பெயர்// சமிஞ்ஞை, அபிதானம்// சொல்; நாமதேயம், 
designation,  பொறுப்புப் பெயர், பெயர், பெயரளி, பதவிப் பெயர், பதவிப்பெயர்/ குறி, 
reputation,  நற்புகழ்; நன்மதிப்பு, ஓமல், தோற்றம், பொருளுரை; நிலைபேறு/ வண்மை, பூச்சியம், உரை, ஓசை// சீர்; நலம்// சாய்: மதிப்பு; நாமம், பெயர், புகழ்// சீர்மை;- இடங்காரம்// செல்லாக்காலம்; நிறம்; நற்பெயர், 
shape form,  பெயர், 
treatise dealing with porul,  பெயர், 
alleged cause,  பெயர், 
pretaxt,  பெயர், 
nominative case,  பெயர், ழுவாய், 
veer,  பெயர், திசைமாற்றல், 
come back,  திரும்பி வா, பெயர், திரும்பி வந்த, 
to fall into ruins,  பெயர், 
to grow loose,  பெயர், 
to be detached,  பெயர், எடுபடு, 
to be displaced,  பெயர், 
dislodged,  பெயர், எடுபடு, 
to be separated,  விடு, பெயர்/ வீழ், 
to stand aside,  பெயர், 
to be rubbed,  பெயர், 
to pass from hand to hand,  பெயர், 
as currency,  பெயர், 
to be collected,  பெயர், 
as money or debt,  பெயர், 
dislodge,  இருப்பிடத்திலிருந்து மாற்று/ வெளியேற்று, பெயர்;- இடம் மாற்று;- இருப்பிடத்திலிருந்து அகற்று/ கழி/ கழித்தல், உதிர்தல், 
unseat,  பெயர்;- இருக்கையிலிருந்து நீக்கு, 
to shake from its basis,  பெயர், 
as foes,  பெயர், 
to remove from one place to another,  பெயர், 
to turn over,  தள்ளு, பெயர், திருப்பு, புரட்டு, 
as a cake,  பெயர், 
to force open,  பெயர்; நெம்பு, 
as a door,  நூக்கு// சாத்து, ஒற்று, பெயர், ஒருச்சரி, திற, 
to blow up,  பெயர், 
to blast,  பெயர், 
gather into ones self,  பெயர், 
realise,  வாய்தல், பெயர்/ வாய், பிரிதல், 
to lead,  உமையாள், ஆற்று, பெயர், ஆற்றுதல், 
alleged cause pretext,  பெயர், 
distribution of shares,  பெயர்க்கணக்கு, 
nominally,  பெயரளவில், பெயர்க்கு, 
for forms sake,  பெயர்க்கு, 
nominally for forms sake,  பெயர்க்கு, 
transit,  கடந்துசெல்கை;- இடைமாற்றம்;- இடங்கடப்பு, பயணம், திரிதல்/ கடப்பு; நாவாய்ப் பயணச் செயற்கைக்கோளின் பெயர் / வழி, ஊடுகடப்பு; நடுவழியில், பெயர்ச்சி, உச்சி கடத்தல்/ கடந்து செல்லல், புடைபெயர்வு/ கடந்து கொண்டு செல்லல், 
displacement,  இடம்மாற்று, பெயர்ச்சி;- இடப்பெயர்வு; நிலைப்பெயர்ச்சி;- இடப்பெயர்ச்சி;- இடப் பெயர்ச்சி;- இடம்பெயர்வு; நிலைமாற்றம், 
transport,  கொண்டு போதல், பெயர்ச்சி, ஏற்றிச் செல்லுதல், ஏற்றிச்செல்லுதல்/ வாகனம், போக்குவரத்து, போக்கு வரத்து, எடுத்துச்செல்லுதல்/ வண்டி;- இடம் பெயர்த்தல், பயணியர் போக்குவரத்து, 
transit of,  பெயர்ச்சி, 
dislocation,  இசகுபிசகு, திட்டச் சீர்குலைவு;- இடப் பிறள்வு நீக்கம்;- இடப்பிறழ்வு; நிலைகுலைவு;- இடப்பெயர்ச்சி: மூட்டுப்பிறழ்ச்சி, உளுக்கு;- இடம்பெயர்வு: மூட்டுவிலக்கம்;- இடமாற்றம், பெயர்ச்சி;- இடப்பெயர்வு/ விலகல்// சீர்க்குலைவு;- இருப்புமாறல்;- இடப்பிசகல், 
sutra dealing with technical terms,  பெயர்ச்சூத்திரம், 
a series of nouns with the connecting conjunction understood,  பெயர்ச்செவ்வெண், 
there being a pause between the nouns in utterance,  பெயர்ச்செவ்வெண், 
dist fr ummai t tokai,  பெயர்ச்செவ்வெண், 
noun or pronoun,  பெயர்ச்சொல், 
one of four parts of speech,  பெயர்ச்சொல், 
grand daughter,  பேத்தி, பெயர்த்தி, பேர்த்தி, 
as bearing the same name as her grandmother,  பெயர்த்தி, 
as of a planet from one iraci to another,  பெயர்த்தி, 
grand-daughter,  பேத்தி, பெயர்த்தி, 
as of a planet from one irai to another,  பெயர்த்தி, 
altered or changed form of a noun,  பெயர்த்திரிசொல், 
archaic or classical noun,  பெயர்த்திரிசொல், 
preliminary labour pains due to movements of the foetus,  பெயர்த்துக் கொடுக்கும்வலி, 
an ancient secondary melody type of mullai class,  பெயர்திறம், 
presently,  இச்சமயம், உடனடியாக/ விரைவாக, பெயர்ந்து;- இப்போது, 
nurpa dealing with technical terms,  பெயர் நூற்பா, 
a poem of,  பெயரின்னிசை, பெயர்நேரிசை, 
or stanzas of nericai venpa,  பெயர்நேரிசை, 
each mentioning the name of a patron or hero one of pirapantam,  பெயர்நேரிசை, 
nominal base of a derivative word,  பெயர்ப்பகுதி, 
exact half,  சொம்பாதி// சரிபாதி, பெயர்பாதி// செம்பாதி, பாதிபகடம், 
retreating,  இடையல், ஒதுக்கம்;- இடை, பெயர்புறம், 
word partaking of the nature of a noun,  பெயர்ப்போலி, 
genealogy,  குடும்ப மரபு வரலாறு/ வழி ஆய்வு/ குடி மரபியல்/ குடிமரபுக் கால்வழி, பேர்வழி/ குடிமரபு வரலாறு/ குடிவழி/ குடும்பமரபு வரலாறு/ குலமுறை, பெயர்வழி, பரவணி/ கால்வழி: மூதாதை மரபு வரலாறு/ வரத்து/ குடும்ப வரலாறு/ விருது: மரபு வழிமுறை// சரவரிசை/ குடிமரபு, 
first section of beschis catur akarati,  பெயரகராதி, 
containing homonyms,  பெயரகராதி, 
first section of beschis caduragardi,  பெயரகராதி, 
index of names,  பெயரட்டவணை, பேரட்டவனை, பேர்வழிப்பட்டோலை, 
noun base,  பெயரடி, 
to score out a name,  பெயரடி, 
as from a roll or register,  பெயரடி, 
and again,  பெயரப்பெயர, 
one who bears a name,  பெயரன், 
grandson,  பேராண்டி, பெயரன், 
as bearing the grandfathers name,  பெயரன், 
onewhobeavisaname,  பெயரன், 
person of great celebrity,  பெயராளி, 
to give a name,  பெயரிடுதல், 
to perform the rite of naming a child,  பெயரிடுதல், 
to perfrom the rite of naming a child,  பெயரிடுதல், 
having a name,  பெயரிய, 
havinganame,  பெயரிய, 
grammatical description of nouns,  பெயரியல், 
chapter on nouns,  பெயரியல், 
noun that naturally suggests its meaning,  பெயரியற்சொல், 
benami transaction,  பெயரிரவல், பொய்ப்பெயரில் பேரம், பேரிரவல், பெயர்இரவல் நடவடிக்கை: மாற்றாள் நடவடிக்கை, பெயரிரவல் பேரம், பெயரிரவல் நடவடிக்கை;- இரவல் பெயரில் நடவடிக்கை, 
namelessness,  நிர்நாமம், பெயரீடிலாமை, பெயரின்மை, 
one of iaivan en kunam,  பற்றின்மை/ குறைவிலறிவுடைமை/ வினையின்மை, பெயரின்மை, 
one of iraivaen-gunam,  பெயரின்மை, 
or stanzas of innicai venpn each mentioning the name of a patron or hero,  பெயரின்னிசை, 
one of pirapanicam,  பெயரின்னிசை, 
to stangas of innisi-venb each mentioning the name of a patron or hero,  பெயரின்னிசை, 
one of irrilakkiyam,  பெயரின்னிசை/ வளமடல், 
as qualifying a noun,  பெயருரிச்சொல், 
name and native place,  பெயரூர், 
relative participle,  பெயரெச்சம், 
adjectival participle,  பெயரெச்சம், 
relative p,  பெயரெச்சம், 
as requiring a noun to complete the sense,  பெயரெச்சம், 
a kind of letter,  பெயரெழுத்து, தன்மையெழுத்து, 
showering,  பெயல், 
iron wood of cevlon,  பெரி, 
iron-wood of cevlon,  பெரி, 
sth remar,  பெரிது, 
sth impor,  பெரிது, பிரதானம், 
greaty,  பெருக்க, பெரிது, 
major,  உரிய வயது வந்தவர்/ வளர்ந்தவர், உரிமை வயது எய்தியவர், பெரிய, பெரும்/ வயது வந்தவர், பெரும்பாசனத் திட்டங்கள்; நிறை அகவையர், படைத்துறைத் தலைவர், படைத்  துறைப்பணித் தலைவர், தளவாய், படைமேலர், பெரும்படியான, பருவ மடைந்த, ஈடாளார்: மேஜர், 
bold,  பெரிய; நெஞ்சன், துண்டை, தடித்த, அச்சமற்ற, துணிவான, திடாரி, தண்டுமாரி, தடிமன், துணிவுள்ள; நாட்டாண்மைக்காரி, எடுப்பான, 
macro,  பெரிய, பெரும், பெரும, பேரளவு, பெரிய என்பதன் முன்னொட்டு, பெருநிலைப் பொருளியல், 
magna,  பெரிய, 
hairy,  பெரிய/ கடின: முடிதவழ்: மயிருள்ள: முடிநிறைந்த, துணிவான இலக்குகள்: முடி போன்ற: முடிபோன்ற, 
audacious goals,  பெரிய/ கடின, துணிவான இலக்குகள், 
gull great black headed,  பெரிய, 
giant,  பெரிய/ கிருத்திராசுரன், ராட்சதன், அரக்கநிலை/ கொடுவா, ஊசிக்கெளிறு, ஊலா, 
magnum,  பெரிய, பேரளவு, பெரும்பாகம், பெருப்பம், 
remarkabl,  பெரிய, 
largegreat,  பெரிய, 
importangreat,  பெரிய, 
large bulrush millet,  பெரியகம்பு, பெருங்கம்பு, 
pennisetum typhoideum,  பெரியகம்பு, புல்// செந்தினை;- இளங்கம்பு, 
the great bear,  சுடர்ச்சக்கரம், பெரியகரடி, 
common quail,  பெரியகாடை; நாவாஞ்சகம், 
palacornis nepalensis,  பெரியகிளி, 
biggest tenant or cultivator in a village,  பெரியகுடியானவன், 
mirasdar,  பெரியகுடியானவன், பெரியதனக்காரன், 
liberal disposition,  பெரியகுணம், 
superiority or indifference to worldly greatness,  பெரியகுணம், 
honours or pleasure,  பெரியகுணம், 
magnamimity,  பெரியகுணம், 
liberal or bountiful hand,  பெரியகை, 
wealthy person,  திறமைக்காரன், தேட்டாளன், தொப்பைக்காரன், பெரியகை, திருவன்: மகாப்பிரபு// செஞ்செவியர்// செல்லன், தன்னியன், 
influential party,  பெரியகை, 
sriragam,  பெரியகோயில்/ கோயில், 
thiruvarangam,  பெரியகோயில், 
tanjore bigtemple,  பெரியகோயில், 
a big siva temple constructed at thanjavur by chola emperor rajarajaduring th century ad,  பெரியகோயில், 
maturing in six months,  பெரியசம்பா/ குளவாழை, 
an crya of the tenkali sri vaisavar,  பெரியசீயர், 
glabrous marting-nut,  பெரிய சேரான், 
indian wintercherry,  பெரிய தக்காளி, 
physalus peruuiana,  பெரிய தக்காளி, 
husband of mothers elder sister,  பெரிய தகப்பன், 
west indian bead tree,  நாட்டுச்சவுண்டல், தகராஞ்சிரம், பெருந்தகரை, பெரியதகரை, தகரை, 
leucaena glauca,  பெருந்தகரை, பெரியதகரை, 
nant,  பெரியதட்டு/ வேத்திரகரன், பளிஞ்சி, தேங்காய்த்தட்டு, 
chief among the non brahmin saiva ascetics of a mutt,  பெரியதம்பிரான், 
worshipped by washermen and others,  பெரியதம்பிரான், 
a form of goddess durga,  பெரியதம்பிரான், 
chief among the non-brahmin saiva ascetics of a mutt,  பெரியதம்பிரான், 
worshipped by washerman and others,  பெரியதம்பிரான், 
a form of goddess durg,  பெரியதம்பிரான், 
a prominent person,  பெரியதலை, 
hereditary headman of a caste,  பெரியதனக்காரன், 
chief landholder in a village,  பெரியதனக்காரன், 
uppishne,  பெரியதனம், 
haughtness,  பெரியதனம், பெருமை, 
mothers elder sister,  தாஆயி, பெரியதாய், பெரியம்மாள், 
wife of fathers elder brother,  பெரியதாய், 
the important annual festival in a temple,  பெரியதிருநாள், 
a matal poem in tivya p pirapantam by tirumakai y alvar,  பெரியதிருமடல், 
a poem in divviya-p-pirabandam by tirumarnigai-y-alvar,  பெரியதிருமடல், 
a poem in tivya p pirapantam by tirumakai y alvar,  பெரியதிருமொழி, 
a poem in tivya-p-pirabandam,  பெரியதிருமொழி, 
by tirumangai-y-alvar,  பெரியதிருமொழி, 
dist fr ciiya tiru v ati,  பெரியதிருவடி, 
dist fr ciriya-tiru-v-adi,  பெரியதிருவடி, 
a poem in wenb in tivviya-p-pirabandam by nammlvr,  பெரியதிருவந்தாதி, 
a large assembly of devotees,  பெரியதிருவோலக்கம், 
as in front of a deity,  பெரியதிருவோலக்கம், 
a large assemble of devotees,  பெரியதிருவோலக்கம், 
negro bean cowitch,  பெரியதெள்ளுக்காய், 
mucuna monosperma,  தெள்ளுக்காய்ச் செடி, பெரியதெள்ளுக்காய், 
hegro bean cowitch,  பெரியதெள்ளுக்காய், 
thepredecessorofarulingking,  பெரியதேவர், 
thesacredbullnandi,  பெரியதேவர், 
noble course of conduct,  பெரியநடை, 
preceptor of ramanuja,  பெரியநம்பி, 
vaisnava acrya precepor of rmnuja,  பெரியநம்பி, 
large sebesten,  பெரியநறுவிலி; நறுவிலி, பெருநறுவிலி// சீதம்/ விரிசு, 
festival day,  நன்னாள், பெரியநாள், 
festivalday,  பெரியநாள், 
cattle plague,  மாட்டுக்கொள்ளை நோய், பெரியநோவு, 
cattleplague,  பெரியநோவு, 
senior paternal uncle,  பெரியப்பன், 
mothers elder sisters husband,  பெரியப்பன், 
senio paternal uncle,  பெரியப்பன், 
mothers elder sisters hustand,  பெரியப்பன், 
fathers elder brother and also the husband of ones mothers elder sister,  பெரியப்பா, 
a standard measure of capacity,  கலசம், பெரியபடி, 
a standand measure of capaciy,  பெரியபடி, 
a coin of the value of querter rupee,  பெரிய பணம், 
big fanam annas,  பெரிய பணம், 
as chief consort of vinu,  பெரிய பிராட்டி, 
agedmanofavillageorafamily,  பெரிய பிள்ளை, 
heldinrespect,  பெரிய பிள்ளை, 
a hagiologic poem containing the lives of the sixty three nyamr,  பெரிய புராணம், 
by ckkir,  பெரிய புராணம், 
cant for hundred,  பெரியபுலு, 
as a large ten,  பெரியபுலு, 
large civet cat,  பெரியபுனுகுப் பூனை, புழுகு, 
viverra zebettia,  பெரியபுனுகுப் பூனை, 
large poolay,  பெரிய பூளை, 
m shaerna javanica,  பெரிய பூளை, 
greatfame,  பெரிய பெயர், 
god at srire tiru-v-arangam,  பெரிய பெருமாள், 
paramount soverign,  பெரிய பெருமாள், 
agreat noble nord,  பெரிய பேச்சு, 
long discussion,  பெரிய பேச்சு, 
asthesupremebeing,  பெரிய பொருள், 
term of respect for the lady of the house,  பெரியம்மா, 
senior paternal uncles wife,  பெரியம்மாள், 
the elderly lady or mistress of a house,  பெரியம்மாள், 
seniorpaternaluncleswife,  பெரியம்மாள், 
the elder lady or mistress of a house,  பெரியம்மாள், 
eldest of mothers brothers,  பெரியம்மான், 
fathers elder sisters husband,  பெரியம்மான், 
eldestofmothersbrothers,  பெரியம்மான், 
pillbearing shrge,  பெரியம்மான் பச்சரிசி, 
small herb,  பெரியம்மான் பச்சரிசி, 
personified as a deity,  பெரியம்மை, 
colloq goddess of misfortune,  பெரியம்மை, 
personifed as a deity,  பெரியம்மை, 
goddens of misfortuse,  பெரியம்மை, 
a large catamaran,  பெரியமரம், 
noble mind,  பெரியமனம்// சற்புத்தி, 
wealthy influential man,  பெரிய மனிதன், 
man of position,  பெரிய மனிதன், 
official or otherwise,  பெரிய மனிதன், 
head man of a caste,  பெரிய மனிதன், 
as of washerman,  பெரிய மனிதன், 
influential worn w oman of position,  பெரிய பெண், 
a girl who attainded puberty,  பெரிய பெண், 
an ancient treatise on poetics,  பெரிய முப்பழம், 
pointed-leave dhog weed,  பெரிய மூக்கிரட்டை, 
fore brain,  பெரியமூளை, 
person of great intellect,  பெரியமூளை, 
forebrain,  பெரியமூளை: முன்மூளை: முன் மூளை, 
a person of great intellect,  பெரியமூளை, 
the ense,  பெரியமேளம், 
barrel shaped two headed drum played with a stick,  பெரியமேளம், 
music of big instruments,  பெரியமேளம், 
like clarionet,  பெரியமேளம், 
pipe,  குழை, புழை, தூம்பு, பெரியமேளம்/ கொம்பு, புரை/ வமிசம்/ குழாய்/ வாரி/ குழல்/ குழாய்ச் சந்திப்பு/ குழாய் திருகி, 
dist fr cinna melam,  பெரியமேளம், 
anything done on a large scale,  பெரியமேளம், 
pipe drum and cymbals,  பெரியமேளம், 
dist cinna-mlam,  பெரியமேளம், 
cassia cinnamon,  இலவங்கப்பட்டை, தாளிசபத்திரி/ கருவா// சிறுநாகப்பூ, பெரியலவங்கப்பட்டை, 
cinnamonum macrocarpum,  பெரியலவங்கப்பட்டை, 
cassiacinnamon,  பெரியலவங்கப்பட்டை, 
a long foot,  பெரியவடி, 
elderly pe,  பெரியவர், 
the aged,  பெரியவர், பெரியார், 
thegreat,  பெரியவர், 
theaged,  பெரியவர், 
a large species of common millet,  பெரிய வரகு, 
a secondary medody type of the palai class,  பெரிய வராடி, 
noon meal offered before the chief deity in a temple,  பெரிய வவசரம், 
a girl who has attained puberty,  பெரியவள், தெருண்டபெண்// சமகன்னி, 
elderywoman,  பெரியவள், 
grown up man,  கடுக்கென்றவன், பெரியவன், 
grown-up man,  பெரியவன், 
author of many works,  பெரியவாச்சான்பிள்ளை, 
and commentator of tivya p pirapantam,  பெரியவாச்சான்பிள்ளை, 
a vaisnava crya,  பெரியவாச்சான்பிள்ளை, 
and commentator of tivya-p-pirpandam,  பெரியவாச்சான்பிள்ளை, 
purple variegated mountain ebony,  பெரியவாத்தி// செம்மந்தாரை// சிவப்புமந்தாரை, பெருமந்தாரை, 
purple variegated mountail ebony,  பெரியவாத்தி, 
one who talks loudly and boisterously,  பெரியவாய், 
half spur flowered nutmeg,  பெரியவாய், 
saccopetalum fomentasum,  பெரியவாய், 
one who talks loudly an boisterously,  பெரியவாய், 
halfspur,  பெரியவாய், 
flowerednutmeg,  பெரியவாய், 
pit saw,  பெரியவாள்/ குழி - வாள், 
big or wealthy man,  பெரியவீட்டுக்காரன், 
a man of paaiya caste,  பெரியவீட்டுக்காரன், 
big or wealth man,  பெரியவீட்டுக்காரன், 
a man of pariya caste,  பெரியவீட்டுக்காரன், 
god brhadisvara of the tanjore temple,  பெரியவுடையநாயனார், 
god brhadisvara of the tanjore,  பெரியவுடையநாயனார், 
jadayu,  பெரியவுடையார், 
noble aspiration,  பெரியவெண்ணம், 
great conception,  பெரியவெண்ணம், 
high conceit,  பெரியவெண்ணம், 
assumption,  ஊகம்/ கருதுகோள்/ கற்பிதம்/ கற்பனை, துள்ளாட்டம்; நடலம்: மேற்கொள்ளுதல், புனைவு கோள், தற்கோள்/ கருது/ கற்பிதம் எடுகோள், தற்கோள் எடுகோள், பெரியவெண்ணம், 
nobleaspiration,  பெரியவெண்ணம், 
goodfriday,  பெரிய வெள்ளிக்கிழமை, 
theanniversaryofthedayonwhichjesuschristwascrucified,  பெரிய வெள்ளிக்கிழமை, 
adeity,  பெரியாண்டவர் கொண்டாட்டம், 
polygala telephoides,  பெரியாநங்கை, பெரியாணங்கை, 
largemilkwort,  பெரியாநங்கை, 
water lilly,  பெரியாம்பல்/ வல்லிகம், 
saints sags,  பெரியார், 
